+(896,430) 1326
+(939,922) 1861
+(510,996) 1506
+(771,309) 1080
+(250,528) 778
+(728,994) 1722
+(798,561) 1359
+(1013,306) 1319
+(465,711) 1176
+(705,603) 1308
+(647,23) 670
+(816,88) 904
+(191,425) 616
+(897,74) 971
+(787,302) 1089
+(101,835) 936
+(513,961) 1474
+(788,392) 1180
+(844,721) 1565
+(761,564) 1325
+(79,115) 194
+(602,968) 1570
+(332,26) 358
+(1007,120) 1127
+(511,751) 1262
+(194,803) 997
+(715,745) 1460
+(84,974) 1058
+(365,825) 1190
+(251,608) 859
+(43,208) 251
+(273,514) 787
+(15,566) 581
+(331,447) 778
+(913,575) 1488
+(257,53) 310
+(546,591) 1137
+(944,633) 1577
+(655,619) 1274
+(497,1005) 1502
+(779,142) 921
+(429,194) 623
+(542,59) 601
+(383,922) 1305
+(592,510) 1102
+(790,478) 1268
+(84,864) 948
+(988,970) 1958
+(659,635) 1294
+(743,1007) 1750
+(236,431) 667
+(890,730) 1620
+(773,1006) 1779
+(430,212) 642
+(289,158) 447
+(629,591) 1220
+(150,197) 347
+(974,722) 1696
+(569,149) 718
+(526,687) 1213
+(462,31) 493
+(344,439) 783
+(990,223) 1213
+(618,372) 990
+(90,337) 427
+(789,593) 1382
+(683,596) 1279
+(835,183) 1018
+(49,841) 890
+(332,759) 1091
+(53,374) 427
+(568,840) 1408
+(354,35) 389
+(944,59) 1003
+(130,714) 844
+(789,787) 1576
+(1007,702) 1709
+(705,26) 731
+(211,473) 684
+(855,358) 1213
+(461,996) 1457
+(1017,1022) 2039
+(31,392) 423
+(596,663) 1259
+(238,303) 541
+(185,699) 884
+(748,651) 1399
+(18,191) 209
+(890,835) 1725
+(702,939) 1641
+(806,30) 836
+(666,246) 912
+(943,773) 1716
+(184,14) 198
+(629,150) 779
+(629,908) 1537
+(600,997) 1597
+(597,877) 1474
+(864,242) 1106
+(101,284) 385
+(129,707) 836
+(569,465) 1034
+(620,908) 1528
+(687,715) 1402
+(840,383) 1223
+(669,284) 953
+(825,14) 839
+(796,81) 877
+(242,872) 1114
+(211,567) 778
+(786,608) 1394
+(773,642) 1415
+(715,429) 1144
+(26,144) 170
+(482,758) 1240
+(890,763) 1653
+(933,102) 1035
+(944,575) 1519
+(649,236) 885
+(996,773) 1769
+(195,974) 1169
+(722,565) 1287
+(331,994) 1325
+(873,294) 1167
+(989,969) 1958
+(77,649) 726
+(448,468) 916
+(640,433) 1073
+(43,840) 883
+(934,383) 1317
+(596,505) 1101
+(651,667) 1318
+(991,940) 1931
+(968,655) 1623
+(246,494) 740
+(41,848) 889
+(236,874) 1110
+(48,861) 909
+(852,911) 1763
+(298,79) 377
+(994,231) 1225
+(822,55) 877
+(316,578) 894
+(991,275) 1266
+(957,1015) 1972
+(211,15) 226
+(165,14) 179
+(43,374) 417
+(673,814) 1487
+(370,913) 1283
+(195,843) 1038
+(86,983) 1069
+(794,246) 1040
+(987,197) 1184
+(773,705) 1478
+(988,360) 1348
+(819,517) 1336
+(777,195) 972
+(377,91) 468
+(619,840) 1459
+(877,608) 1485
+(942,781) 1723
+(223,4) 227
+(549,372) 921
+(967,941) 1908
+(393,18) 411
+(701,86) 787
+(372,64) 436
+(1013,372) 1385
+(953,619) 1572
+(673,3) 676
+(209,781) 990
+(713,634) 1347
+(364,722) 1086
+(758,781) 1539
+(840,246) 1086
+(788,1) 789
+(459,593) 1052
+(342,920) 1262
+(991,619) 1610
+(693,342) 1035
+(432,509) 941
+(757,745) 1502
+(687,424) 1111
+(614,908) 1522
+(569,508) 1077
+(608,568) 1176
+(365,520) 885
+(693,534) 1227
+(371,694) 1065
+(684,211) 895
+(997,996) 1993
+(487,642) 1129
+(524,999) 1523
+(603,74) 677
+(968,635) 1603
+(857,53) 910
+(654,787) 1441
+(517,194) 711
+(873,23) 896
+(220,819) 1039
+(189,489) 678
+(258,931) 1189
+(629,547) 1176
+(151,943) 1094
+(530,635) 1165
+(931,669) 1600
+(306,280) 586
+(999,279) 1278
+(1005,448) 1453
+(967,649) 1616
+(316,912) 1228
+(404,826) 1230
+(489,403) 892
+(618,418) 1036
+(683,379) 1062
+(476,235) 711
+(80,82) 162
+(70,472) 542
+(343,733) 1076
+(38,244) 282
+(933,761) 1694
+(517,439) 956
+(144,900) 1044
+(722,309) 1031
+(655,50) 705
+(448,238) 686
+(615,625) 1240
+(309,273) 582
+(472,974) 1446
+(770,101) 871
+(1021,931) 1952
+(674,212) 886
+(893,788) 1681
+(1007,280) 1287
+(440,584) 1024
+(971,302) 1273
+(565,883) 1448
+(81,31) 112
+(534,708) 1242
+(1021,374) 1395
+(991,893) 1884
+(195,149) 344
+(478,781) 1259
+(749,657) 1406
+(196,482) 678
+(14,761) 775
+(195,420) 615
+(828,595) 1423
+(283,88) 371
+(138,306) 444
+(318,459) 777
+(694,381) 1075
+(539,25) 564
+(865,291) 1156
+(596,810) 1406
+(203,748) 951
+(90,106) 196
+(620,25) 645
+(614,81) 695
+(814,815) 1629
+(195,284) 479
+(31,251) 282
+(284,520) 804
+(437,620) 1057
+(877,947) 1824
+(507,238) 745
+(990,364) 1354
+(434,617) 1051
+(908,983) 1891
+(173,997) 1170
+(665,334) 999
+(809,979) 1788
+(960,655) 1615
+(580,625) 1205
+(713,318) 1031
+(994,727) 1721
+(946,493) 1439
+(840,391) 1231
+(997,744) 1741
+(5,509) 514
+(442,371) 813
+(517,651) 1168
+(546,177) 723
+(998,384) 1382
+(476,578) 1054
+(712,442) 1154
+(18,534) 552
+(447,837) 1284
+(10,534) 544
+(825,130) 955
+(961,3) 964
+(575,383) 958
+(666,1007) 1673
+(744,31) 775
+(374,139) 513
+(674,312) 986
+(657,303) 960
+(943,647) 1590
+(529,3) 532
+(75,53) 128
+(236,863) 1099
+(968,465) 1433
+(396,79) 475
+(974,843) 1817
+(560,784) 1344
+(861,877) 1738
+(1005,193) 1198
+(468,763) 1231
+(38,814) 852
+(568,575) 1143
+(242,762) 1004
+(710,68) 778
+(741,439) 1180
+(873,694) 1567
+(478,75) 553
+(625,236) 861
+(436,615) 1051
+(182,468) 650
+(323,136) 459
+(806,306) 1112
+(568,102) 670
+(943,653) 1596
+(944,921) 1865
+(433,231) 664
+(814,912) 1726
+(946,300) 1246
+(291,129) 420
+(796,943) 1739
+(465,497) 962
+(144,752) 896
+(231,279) 510
+(81,46) 127
+(819,144) 963
+(481,136) 617
+(913,15) 928
+(1013,840) 1853
+(969,857) 1826
+(810,377) 1187
+(127,130) 257
+(455,325) 780
+(968,913) 1881
+(913,664) 1577
+(393,898) 1291
+(961,689) 1650
+(843,669) 1512
+(217,825) 1042
+(939,679) 1618
+(989,3) 992
+(35,578) 613
+(729,802) 1531
+(165,253) 418
+(788,279) 1067
+(174,855) 1029
+(633,907) 1540
+(84,844) 928
+(674,433) 1107
+(303,259) 562
+(179,37) 216
+(182,814) 996
+(134,761) 895
+(10,606) 616
+(325,211) 536
+(30,953) 983
+(809,657) 1466
+(75,638) 713
+(781,654) 1435
+(364,448) 812
+(364,856) 1220
+(532,911) 1443
+(781,861) 1642
+(210,647) 857
+(38,442) 480
+(575,433) 1008
+(174,710) 884
+(887,46) 933
+(493,761) 1254
+(805,119) 924
+(883,730) 1613
+(919,527) 1446
+(940,702) 1642
+(280,987) 1267
+(669,460) 1129
+(434,578) 1012
+(751,575) 1326
+(748,763) 1511
+(371,471) 842
+(561,358) 919
+(342,666) 1008
+(761,233) 994
+(877,540) 1417
+(172,635) 807
+(946,183) 1129
+(15,208) 223
+(309,379) 688
+(814,482) 1296
+(528,68) 596
+(584,559) 1143
+(597,233) 830
+(710,517) 1227
+(986,191) 1177
+(693,79) 772
+(242,209) 451
+(182,85) 267
+(640,15) 655
+(944,647) 1591
+(745,857) 1602
+(439,990) 1429
+(374,252) 626
+(855,182) 1037
+(429,1007) 1436
+(748,944) 1692
+(195,53) 248
+(896,546) 1442
+(451,345) 796
+(614,591) 1205
+(341,439) 780
+(604,802) 1406
+(747,565) 1312
+(909,59) 968
+(377,303) 680
+(591,393) 984
+(539,377) 916
+(38,676) 714
+(527,994) 1521
+(37,968) 1005
+(458,88) 546
+(342,596) 938
+(311,883) 1194
+(569,961) 1530
+(991,459) 1450
+(687,177) 864
+(55,182) 237
+(454,179) 633
+(162,754) 916
+(0,640) 640
+(794,252) 1046
+(365,873) 1238
+(261,402) 663
+(197,469) 666
+(864,106) 970
+(666,529) 1195
+(59,773) 832
+(654,102) 756
+(940,686) 1626
+(623,251) 874
+(269,517) 786
+(967,817) 1784
+(545,513) 1058
+(127,244) 371
+(127,597) 724
+(730,717) 1447
+(565,249) 814
+(980,211) 1191
+(988,195) 1183
+(771,84) 855
+(425,246) 671
+(490,249) 739
+(649,379) 1028
+(674,209) 883
+(794,619) 1413
+(374,529) 903
+(787,880) 1667
+(75,946) 1021
+(74,692) 766
+(970,820) 1790
+(191,429) 620
+(994,766) 1760
+(891,596) 1487
+(572,920) 1492
+(236,745) 981
+(343,904) 1247
+(900,323) 1223
+(565,130) 695
+(482,922) 1404
+(244,151) 395
+(340,223) 563
+(919,565) 1484
+(933,379) 1312
+(635,998) 1633
+(963,490) 1453
+(698,435) 1133
+(527,943) 1470
+(31,540) 571
+(986,388) 1374
+(702,732) 1434
+(102,54) 156
+(756,529) 1285
+(489,761) 1250
+(407,14) 421
+(936,333) 1269
+(236,907) 1143
+(973,295) 1268
+(102,1010) 1112
+(608,561) 1169
+(191,191) 382
+(814,707) 1521
+(953,154) 1107
+(796,527) 1323
+(707,786) 1493
+(302,788) 1090
+(532,798) 1330
+(953,304) 1257
+(608,779) 1387
+(251,796) 1047
+(81,105) 186
+(236,667) 903
+(130,968) 1098
+(41,3) 44
+(238,462) 700
+(565,933) 1498
+(661,331) 992
+(751,316) 1067
+(130,655) 785
+(891,257) 1148
+(744,908) 1652
+(1013,457) 1470
+(747,3) 750
+(41,252) 293
+(713,43) 756
+(940,882) 1822
+(1022,584) 1606
+(527,789) 1316
+(15,583) 598
+(649,316) 965
+(231,526) 757
+(761,996) 1757
+(151,647) 798
+(332,79) 411
+(1014,372) 1386
+(81,875) 956
+(364,826) 1190
+(835,150) 985
+(383,321) 704
+(815,761) 1576
+(15,1022) 1037
+(493,708) 1201
+(15,752) 767
+(676,659) 1335
+(3,429) 432
+(597,19) 616
+(96,594) 690
+(785,996) 1781
+(526,144) 670
+(182,283) 465
+(802,816) 1618
+(785,506) 1291
+(364,805) 1169
+(429,473) 902
+(185,545) 730
+(551,941) 1492
+(229,110) 339
+(729,365) 1094
+(634,434) 1068
+(81,493) 574
+(231,217) 448
+(561,550) 1111
+(863,852) 1715
+(882,673) 1555
+(350,635) 985
+(561,298) 859
+(953,304) 1257
+(121,970) 1091
+(379,968) 1347
+(349,161) 510
+(763,575) 1338
+(191,715) 906
+(81,278) 359
+(712,991) 1703
+(659,236) 895
+(534,457) 991
+(997,861) 1858
+(745,855) 1600
+(565,22) 587
+(989,309) 1298
+(459,692) 1151
+(12,887) 899
+(617,291) 908
+(431,127) 558
+(794,236) 1030
+(997,377) 1374
+(619,43) 662
+(891,520) 1411
+(945,919) 1864
+(194,712) 906
+(30,184) 214
+(943,734) 1677
+(461,691) 1152
+(955,22) 977
+(940,953) 1893
+(409,332) 741
+(321,960) 1281
+(715,832) 1547
+(465,639) 1104
+(237,475) 712
+(489,321) 810
+(341,223) 564
+(336,448) 784
+(191,565) 756
+(101,977) 1078
+(953,700) 1653
+(739,883) 1622
+(292,817) 1109
+(812,136) 948
+(462,806) 1268
+(487,548) 1035
+(120,558) 678
+(19,820) 839
+(396,608) 1004
+(257,727) 984
+(374,996) 1370
+(599,198) 797
+(86,18) 104
+(292,635) 927
+(274,627) 901
+(46,263) 309
+(960,596) 1556
+(451,694) 1145
+(810,659) 1469
+(707,291) 998
+(150,729) 879
+(710,134) 844
+(117,388) 505
+(251,696) 947
+(396,242) 638
+(606,687) 1293
+(15,934) 949
+(473,707) 1180
+(31,931) 962
+(994,970) 1964
+(593,505) 1098
+(313,558) 871
+(303,81) 384
+(784,364) 1148
+(377,575) 952
+(1017,785) 1802
+(750,59) 809
+(1017,79) 1096
+(603,81) 684
+(700,997) 1697
+(567,592) 1159
+(580,284) 864
+(430,884) 1314
+(482,710) 1192
+(887,619) 1506
+(102,37) 139
+(332,520) 852
+(715,390) 1105
+(900,893) 1793
+(129,826) 955
+(794,377) 1171
+(864,798) 1662
+(274,677) 951
+(116,840) 956
+(478,744) 1222
+(591,558) 1149
+(988,796) 1784
+(640,751) 1391
+(617,774) 1391
+(603,875) 1478
+(203,832) 1035
+(615,263) 878
+(629,1007) 1636
+(86,857) 943
+(707,494) 1201
+(264,390) 654
+(50,599) 649
+(596,211) 807
+(54,593) 647
+(943,430) 1373
+(434,473) 907
+(785,249) 1034
+(729,409) 1138
+(14,526) 540
+(673,4) 677
+(770,722) 1492
+(730,639) 1369
+(695,687) 1382
+(618,517) 1135
+(472,195) 667
+(184,138) 322
+(170,154) 324
+(601,700) 1301
+(701,606) 1307
+(619,563) 1182
+(198,642) 840
+(763,759) 1522
+(561,136) 697
+(424,963) 1387
+(880,525) 1405
+(549,193) 742
+(264,332) 596
+(943,364) 1307
+(856,502) 1358
+(198,744) 942
+(835,257) 1092
+(619,217) 836
+(452,365) 817
+(476,435) 911
+(195,988) 1183
+(177,771) 948
+(844,300) 1144
+(575,922) 1497
+(828,600) 1428
+(921,837) 1758
+(526,861) 1387
+(494,211) 705
+(318,750) 1068
+(777,651) 1428
+(597,852) 1449
+(217,687) 904
+(509,316) 825
+(607,286) 893
+(223,657) 880
+(713,408) 1121
+(81,114) 195
+(517,194) 711
+(107,838) 945
+(714,752) 1466
+(505,614) 1119
+(729,639) 1368
+(383,863) 1246
+(304,342) 646
+(857,151) 1008
+(773,32) 805
+(59,737) 796
+(731,592) 1323
+(250,759) 1009
+(529,693) 1222
+(943,617) 1560
+(424,577) 1001
+(303,864) 1167
+(806,561) 1367
+(341,371) 712
+(750,940) 1690
+(1005,452) 1457
+(220,731) 951
+(955,520) 1475
+(527,507) 1034
+(600,653) 1253
+(568,761) 1329
+(639,665) 1304
+(747,30) 777
+(532,509) 1041
+(506,22) 528
+(790,728) 1518
+(468,567) 1035
+(803,968) 1771
+(303,186) 489
+(846,715) 1561
+(669,700) 1369
+(1021,408) 1429
+(803,973) 1776
+(182,715) 897
+(913,254) 1167
+(629,429) 1058
+(651,13) 664
+(1013,619) 1632
+(608,134) 742
+(953,534) 1487
+(559,931) 1490
+(584,211) 795
+(557,609) 1166
+(635,771) 1406
+(649,934) 1583
+(73,41) 114
+(37,896) 933
+(684,803) 1487
+(229,881) 1110
+(291,881) 1172
+(597,816) 1413
+(784,998) 1782
+(626,48) 674
+(952,276) 1228
+(708,2) 710
+(531,763) 1294
+(787,840) 1627
+(431,139) 570
+(114,303) 417
+(15,364) 379
+(418,696) 1114
+(737,942) 1679
+(953,971) 1924
+(527,642) 1169
+(1005,832) 1837
+(49,46) 95
+(739,38) 777
+(342,263) 605
+(15,316) 331
+(747,342) 1089
+(309,596) 905
+(546,974) 1520
+(80,897) 977
+(364,292) 656
+(534,751) 1285
+(317,946) 1263
+(509,900) 1409
+(802,809) 1611
+(508,568) 1076
+(554,595) 1149
+(459,236) 695
+(37,15) 52
+(763,343) 1106
+(595,565) 1160
+(473,210) 683
+(364,621) 985
+(408,371) 779
+(785,195) 980
+(891,482) 1373
+(657,793) 1450
+(442,404) 846
+(713,1010) 1723
+(465,657) 1122
+(834,242) 1076
+(666,74) 740
+(73,651) 724
+(154,855) 1009
+(983,318) 1301
+(701,90) 791
+(855,117) 972
+(342,663) 1005
+(757,952) 1709
+(106,573) 679
+(618,891) 1509
+(886,600) 1486
+(526,53) 579
+(952,28) 980
+(468,673) 1141
+(102,840) 942
+(420,79) 499
+(527,318) 845
+(447,814) 1261
+(909,249) 1158
+(14,50) 64
+(130,317) 447
+(946,673) 1619
+(212,883) 1095
+(249,707) 956
+(203,430) 633
+(280,177) 457
+(15,1013) 1028
+(309,549) 858
+(689,429) 1118
+(888,408) 1296
+(886,741) 1627
+(316,195) 511
+(647,210) 857
+(251,195) 446
+(139,283) 422
+(559,777) 1336
+(843,666) 1509
+(295,313) 608
+(79,195) 274
+(459,429) 888
+(877,517) 1394
+(243,364) 607
+(294,458) 752
+(788,722) 1510
+(840,861) 1701
+(16,377) 393
+(843,211) 1054
+(211,14) 225
+(649,115) 764
+(418,186) 604
+(68,667) 735
+(683,183) 866
+(220,707) 927
+(103,358) 461
+(779,238) 1017
+(424,41) 465
+(1007,524) 1531
+(174,75) 249
+(101,309) 410
+(43,52) 95
+(713,313) 1026
+(182,883) 1065
+(983,235) 1218
+(890,431) 1321
+(917,380) 1297
+(38,920) 958
+(909,291) 1200
+(86,723) 809
+(316,332) 648
+(520,597) 1117
+(468,809) 1277
+(758,873) 1631
+(996,707) 1703
+(728,276) 1004
+(15,657) 672
+(526,390) 916
+(667,967) 1634
+(368,806) 1174
+(862,880) 1742
+(763,798) 1561
+(712,667) 1379
+(203,565) 768
+(4,242) 246
+(333,196) 529
+(447,1007) 1454
+(30,38) 68
+(983,692) 1675
+(919,318) 1237
+(195,974) 1169
+(203,635) 838
+(102,106) 208
+(953,345) 1298
+(1002,136) 1138
+(565,732) 1297
+(464,116) 580
+(246,510) 756
+(196,158) 354
+(87,888) 975
+(994,55) 1049
+(1021,863) 1884
+(776,370) 1146
+(550,10) 560
+(974,509) 1483
+(220,548) 768
+(698,478) 1176
+(891,458) 1349
+(465,440) 905
+(529,244) 773
+(729,331) 1060
+(584,309) 893
+(1017,393) 1410
+(0,1002) 1002
+(417,754) 1171
+(666,752) 1418
+(38,439) 477
+(751,391) 1142
+(473,796) 1269
+(209,502) 711
+(333,164) 497
+(958,625) 1583
+(229,712) 941
+(316,526) 842
+(805,82) 887
+(465,455) 920
+(676,120) 796
+(336,597) 933
+(284,168) 452
+(437,132) 569
+(575,781) 1356
+(534,699) 1233
+(107,699) 806
+(727,745) 1472
+(761,249) 1010
+(292,144) 436
+(25,710) 735
+(571,805) 1376
+(584,684) 1268
+(771,649) 1420
+(963,157) 1120
+(87,684) 771
+(844,737) 1581
+(983,861) 1844
+(321,161) 482
+(18,342) 360
+(863,712) 1575
+(600,53) 653
+(933,994) 1927
+(460,654) 1114
+(391,848) 1239
+(669,752) 1421
+(575,212) 787
+(110,74) 184
+(565,946) 1511
+(575,465) 1040
+(625,31) 656
+(517,971) 1488
+(90,594) 684
+(965,574) 1539
+(399,745) 1144
+(429,731) 1160
+(211,257) 468
+(15,284) 299
+(983,793) 1776
+(673,439) 1112
+(161,796) 957
+(340,346) 686
+(233,138) 371
+(481,244) 725
+(531,1005) 1536
+(659,434) 1093
+(751,574) 1325
+(452,211) 663
+(161,962) 1123
+(342,745) 1087
+(969,46) 1015
+(798,325) 1123
+(448,621) 1069
+(391,229) 620
+(987,707) 1694
+(761,528) 1289
+(309,647) 956
+(1007,992) 1999
+(90,87) 177
+(649,789) 1438
+(597,38) 635
+(965,191) 1156
+(843,354) 1197
+(863,309) 1172
+(371,997) 1368
+(792,747) 1539
+(872,184) 1056
+(136,542) 678
+(743,748) 1491
+(991,98) 1089
+(183,102) 285
+(349,898) 1247
+(309,794) 1103
+(86,974) 1060
+(921,182) 1103
+(635,744) 1379
+(745,26) 771
+(135,554) 689
+(440,177) 617
+(872,816) 1688
+(258,619) 877
+(669,289) 958
+(506,186) 692
+(545,564) 1109
+(323,291) 614
+(84,472) 556
+(781,1006) 1787
+(744,372) 1116
+(459,665) 1124
+(729,336) 1065
+(139,434) 573
+(110,936) 1046
+(898,683) 1581
+(608,325) 933
+(316,677) 993
+(457,715) 1172
+(74,606) 680
+(626,819) 1445
+(965,861) 1826
+(568,812) 1380
+(59,0) 59
+(600,26) 626
+(68,880) 948
+(595,551) 1146
+(553,211) 764
+(575,1021) 1596
+(838,962) 1800
+(103,941) 1044
+(494,815) 1309
+(377,785) 1162
+(596,707) 1303
+(433,409) 842
+(875,256) 1131
+(593,805) 1398
+(454,863) 1317
+(465,404) 869
+(18,284) 302
+(1007,940) 1947
+(931,759) 1690
+(184,784) 968
+(1021,592) 1613
+(739,805) 1544
+(10,609) 619
+(43,864) 907
+(683,877) 1560
+(932,749) 1681
+(105,901) 1006
+(960,400) 1360
+(1005,400) 1405
+(293,263) 556
+(316,939) 1255
+(565,551) 1116
+(208,997) 1205
+(73,1014) 1087
+(238,635) 873
+(864,674) 1538
+(26,820) 846
+(751,374) 1125
+(120,468) 588
+(625,43) 668
+(619,517) 1136
+(132,739) 871
+(457,599) 1056
+(151,336) 487
+(852,455) 1307
+(64,517) 581
+(213,789) 1002
+(98,140) 238
+(349,540) 889
+(944,110) 1054
+(979,573) 1552
+(269,434) 703
+(737,472) 1209
+(761,748) 1509
+(745,35) 780
+(295,659) 954
+(84,314) 398
+(863,505) 1368
+(865,381) 1246
+(805,177) 982
+(888,448) 1336
+(165,664) 829
+(321,403) 724
+(943,698) 1641
+(591,509) 1100
+(996,238) 1234
+(508,759) 1267
+(182,280) 462
+(31,691) 722
+(460,991) 1451
+(493,806) 1299
+(922,491) 1413
+(26,284) 310
+(417,560) 977
+(759,559) 1318
+(671,316) 987
+(564,220) 784
+(340,664) 1004
+(957,19) 976
+(856,269) 1125
+(20,191) 211
+(291,730) 1021
+(505,569) 1074
+(539,599) 1138
+(844,224) 1068
+(465,142) 607
+(686,1007) 1693
+(996,574) 1570
+(490,98) 588
+(452,472) 924
+(168,383) 551
+(342,556) 898
+(920,197) 1117
+(303,608) 911
+(30,542) 572
+(173,757) 930
+(727,592) 1319
+(882,236) 1118
+(863,372) 1235
+(638,968) 1606
+(673,383) 1056
+(257,847) 1104
+(5,857) 862
+(342,115) 457
+(788,575) 1363
+(442,628) 1070
+(674,715) 1389
+(751,194) 945
+(953,209) 1162
+(49,938) 987
+(28,237) 265
+(200,852) 1052
+(942,1) 943
+(193,864) 1057
+(276,46) 322
+(568,278) 846
+(723,15) 738
+(183,41) 224
+(924,116) 1040
+(177,943) 1120
+(217,212) 429
+(955,312) 1267
+(835,655) 1490
+(120,53) 173
+(292,532) 824
+(229,510) 739
+(863,195) 1058
+(309,323) 632
+(334,761) 1095
+(451,509) 960
+(730,179) 909
+(786,691) 1477
+(59,779) 838
+(814,473) 1287
+(618,164) 782
+(380,337) 717
+(170,575) 745
+(737,208) 945
+(974,639) 1613
+(763,119) 882
+(997,194) 1191
+(77,145) 222
+(674,903) 1577
+(665,864) 1529
+(1007,814) 1821
+(511,517) 1028
+(573,874) 1447
+(785,635) 1420
+(817,1007) 1824
+(763,580) 1343
+(683,384) 1067
+(618,600) 1218
+(752,561) 1313
+(478,979) 1457
+(303,830) 1133
+(784,231) 1015
+(173,115) 288
+(527,286) 813
+(388,472) 860
+(299,374) 673
+(843,278) 1121
+(696,73) 769
+(737,189) 926
+(12,26) 38
+(43,974) 1017
+(332,920) 1252
+(41,655) 696
+(464,130) 594
+(980,1012) 1992
+(461,472) 933
+(242,312) 554
+(430,762) 1192
+(487,353) 840
+(526,1018) 1544
+(606,251) 857
+(517,434) 951
+(448,200) 648
+(542,249) 791
+(193,907) 1100
+(75,970) 1045
+(179,186) 365
+(103,153) 256
+(638,657) 1295
+(332,900) 1232
+(693,331) 1024
+(753,215) 968
+(919,874) 1793
+(944,618) 1562
+(212,440) 652
+(172,18) 190
+(465,731) 1196
+(130,311) 441
+(263,663) 926
+(158,448) 606
+(196,794) 990
+(86,510) 596
+(81,974) 1055
+(314,826) 1140
+(529,273) 802
+(673,158) 831
+(55,10) 65
+(144,997) 1141
+(249,994) 1243
+(286,607) 893
+(932,542) 1474
+(490,564) 1054
+(15,816) 831
+(478,751) 1229
+(371,863) 1234
+(988,920) 1908
+(353,493) 846
+(144,251) 395
+(629,545) 1174
+(86,462) 548
+(465,68) 533
+(591,591) 1182
+(673,38) 711
+(139,620) 759
+(777,561) 1338
+(983,802) 1785
+(562,259) 821
+(208,686) 894
+(996,101) 1097
+(625,195) 820
+(213,86) 299
+(151,19) 170
+(75,381) 456
+(309,460) 769
+(323,748) 1071
+(812,189) 1001
+(252,508) 760
+(1014,191) 1205
+(856,292) 1148
+(884,338) 1222
+(194,583) 777
+(170,244) 414
+(991,720) 1711
+(966,560) 1526
+(934,575) 1509
+(745,74) 819
+(259,184) 443
+(1020,390) 1410
+(274,655) 929
+(36,191) 227
+(117,364) 481
+(840,332) 1172
+(144,943) 1087
+(283,798) 1081
+(573,195) 768
+(452,751) 1203
+(600,294) 894
+(556,674) 1230
+(165,603) 768
+(462,626) 1088
+(602,578) 1180
+(462,723) 1185
+(713,53) 766
+(32,781) 813
+(591,292) 883
+(150,162) 312
+(107,945) 1052
+(944,877) 1821
+(110,511) 621
+(260,761) 1021
+(564,859) 1423
+(440,41) 481
+(260,745) 1005
+(532,970) 1502
+(741,3) 744
+(700,619) 1319
+(666,478) 1144
+(55,556) 611
+(293,86) 379
+(144,989) 1133
+(459,243) 702
+(46,996) 1042
+(776,144) 920
+(1007,331) 1338
+(182,434) 616
+(525,82) 607
+(292,635) 927
+(897,244) 1141
+(578,745) 1323
+(269,651) 920
+(659,1015) 1674
+(238,601) 839
+(989,174) 1163
+(168,164) 332
+(213,210) 423
+(707,849) 1556
+(998,528) 1526
+(689,12) 701
+(940,881) 1821
+(79,877) 956
+(383,900) 1283
+(715,243) 958
+(619,135) 754
+(663,55) 718
+(18,157) 175
+(722,462) 1184
+(864,430) 1294
+(884,943) 1827
+(794,494) 1288
+(390,896) 1286
+(967,569) 1536
+(534,666) 1200
+(76,752) 828
+(238,710) 948
+(489,1007) 1496
+(468,493) 961
+(520,785) 1305
+(638,908) 1546
+(962,857) 1819
+(252,371) 623
+(789,877) 1666
+(48,455) 503
+(380,299) 679
+(751,513) 1264
+(983,86) 1069
+(343,487) 830
+(368,932) 1300
+(1021,432) 1453
+(798,229) 1027
+(741,510) 1251
+(439,687) 1126
+(626,101) 727
+(223,345) 568
+(35,618) 653
+(19,252) 271
+(377,682) 1059
+(417,1005) 1422
+(883,991) 1874
+(0,116) 116
+(991,316) 1307
+(938,299) 1237
+(105,377) 482
+(699,229) 928
+(264,341) 605
+(599,203) 802
+(819,30) 849
+(185,575) 760
+(365,50) 415
+(304,47) 351
+(857,946) 1803
+(745,737) 1482
+(26,534) 560
+(54,673) 727
+(47,318) 365
+(790,922) 1712
+(237,600) 837
+(102,48) 150
+(334,476) 810
+(575,129) 704
+(547,517) 1064
+(43,473) 516
+(986,713) 1699
+(372,664) 1036
+(707,1005) 1712
+(819,383) 1202
+(416,182) 598
+(991,370) 1361
+(186,340) 526
+(893,843) 1736
+(676,798) 1474
+(191,437) 628
+(191,158) 349
+(364,888) 1252
+(942,4) 946
+(15,139) 154
+(432,834) 1266
+(745,511) 1256
+(665,236) 901
+(980,70) 1050
+(316,46) 362
+(64,291) 355
+(684,574) 1258
+(565,674) 1239
+(682,843) 1525
+(513,3) 516
+(158,257) 415
+(59,161) 220
+(733,212) 945
+(756,657) 1413
+(837,554) 1391
+(508,940) 1448
+(926,676) 1602
+(553,82) 635
+(211,692) 903
+(497,280) 777
+(1013,338) 1351
+(722,873) 1595
+(944,41) 985
+(306,754) 1060
+(514,564) 1078
+(448,299) 747
+(81,364) 445
+(676,720) 1396
+(666,79) 745
+(36,514) 550
+(857,379) 1236
+(433,41) 474
+(761,294) 1055
+(53,12) 65
+(560,476) 1036
+(383,198) 581
+(150,243) 393
+(81,130) 211
+(54,107) 161
+(91,390) 481
+(817,316) 1133
+(941,549) 1490
+(383,744) 1127
+(762,996) 1758
+(903,826) 1729
+(529,511) 1040
+(651,491) 1142
+(817,358) 1175
+(946,546) 1492
+(217,452) 669
+(152,547) 699
+(15,260) 275
+(317,999) 1316
